-80.026857,43.638462,374 Queen Street, Acton, ON
-79.293227,43.782303,3850 Sheppard Avenue East, Agincourt, ON 
-79.329554,43.793694,2936 Finch Ave E, Agincourt, ON 
-79.025964,43.842458,222 Bayly Street W, Ajax, ON
-79.018996,43.862549,135 Kingston Road East, Ajax, ON
-79.020557,43.840887,270 Kingston Road East Rr #1, Ajax, ON
-83.108286,42.097134,400 Sandwich Street S Maiden Mall, Amherstburg, ON
-83.109854,42.105645,151 Sandwich Street South, Amherstburg, ON 
-79.984193,43.212321,1051 Highway 53 West, Ancaster, ON
-79.984372,43.212289,Martindale Crescent Meadowland Square, Ancaster, ON
-79.889118,44.327649,231 Mill Street, Angus, ON
-76.368744,45.424581,16 Baskin Drive W, Arnprior, ON
-79.415106,44.014779,135 First Commerce Drive, Aurora, ON
-79.462877,43.984064,2 Allaura Blvd, Aurora, ON
-80.979088,42.772819,200 Talbot Street North, Aylmer, ON
-77.856461,45.062555,141 Hastings Street North, Bancroft, ON
-79.666396,44.369036,347 Yonge Street, Barrie, ON
-79.708535,44.410212,446 Bayfield Street, Barrie, ON
-79.688568,44.334363,35 Mapleview Drive West, Barrie, ON 
-79.708689,44.410382,450 Bayfield Street, Barrie, ON
-79.688284,44.335948,80 Barrie View Drive, Barrie, ON 
-79.693024,44.387851,85 Dunlop Street, Barrie, ON
-79.477084,43.185277,4748 Ontario Street, Beamsville, ON
-77.391609,44.178811,185 N Front St, Belleville, ON
-77.398204,44.196216,274 Millennium Parkway, Belleville, ON
-77.353402,44.167531,470 Dundas Street East, Belleville, ON
-79.709164,43.862843,150 Mcewan Drive East, Bolton, ON
-79.753419,43.892161,12612 Highway #50, Bolton, ON
-78.688763,43.915691,2387 Highway #2, Bowmanville, ON
-79.291924,45.049004,40 Depot Drive, Bracebridge, ON
-79.301329,45.03512,105 Highway #118 West, Bracebridge, ON
-79.596247,44.107316,545 Holland Street West, Bradford, ON
-79.702629,43.737881,2450 Queen Street East Rr#4, Brampton, ON
-79.813317,43.684026,30 Brisdale Road, Brampton, ON
-79.77176,43.694895,372 Main Street North, Brampton, ON
-79.725437,43.659932,7690 Hurontario Street, Brampton, ON
-79.694709,43.739417,30 Coventry Road, Brampton, ON
-79.782483,43.705383,50 Quarry Edge Drive, Brampton, ON
-79.795819,43.72666,160 Sandalwood Parkway East, Brampton, ON
-79.672627,43.720302,2439 Steeles Ave East, Brampton, ON
-79.7419,43.702558,344 Queen St East, Brampton, ON
-79.731062,43.759085,45 Mountain Ash Rd, Brampton, ON
-79.74117,43.689616,50 Kennedy Rd S, Brampton, ON
-79.720415,43.677439,543 Steeles Avenue E., Brampton, ON
-79.821882,43.731297,11670 Hurontario St N, Brampton, ON
-80.245948,43.140866,27 Stanley Street, Brantford, ON
-80.281102,43.18197,300 King George Rd, Brantford, ON
-80.242159,43.162398,299 Wayne Gretzky Parkway, Brantford, ON
-80.275197,43.165818,73 King George Rd, Brantford, ON
-75.701455,44.603488,2454 Parkdale Street, Brockville, ON
-75.685539,44.613948,1942 Parkdale Ave, Brockville, ON
-79.819976,43.363717,1505 Guelph Line, Burlington, ON
-79.76265,43.373074,4490 Fairview Street, Burlington, ON
-79.810895,43.337849,2065 Fairview Road, Burlington, ON
-79.791679,43.394634,2040 Appleby Line Unit #H, Burlington, ON
-79.823509,43.39151,2991 Walkers Line, Burlington, ON
-79.813369,43.380435,4515 Dundas St West Rr #1, Burlington, ON
-79.831802,43.322583,623 Plains Road East, Burlington, ON
-79.793895,43.344863,689 Guelph Line Rd, Burlington, ON
-79.958786,43.064678,282 Argyle Street South, Caledonia, ON
-80.324127,43.394892,416 Hespeler Rd, Cambridge, ON
-80.326452,43.408421,22 Pinebush Road, Cambridge, ON
-80.310282,43.418046,100 Jamieson Parkway, Cambridge, ON
-80.305749,43.4302,Hespeler Station Po Box 2129, Cambridge, ON
-80.291569,43.357635,400 Main Street East, Cambridge, ON
-80.305749,43.4302,Hespeler Station Po Box 25030, Cambridge, ON
-76.123762,45.13616,450 Mcneely Ave, Carleton Place, ON
-82.2003,42.415488,411 St Clair St, Chatham, ON
-82.219253,42.430879,801 St Clair St, Chatham, ON
-82.205741,42.386517,710 Richmond Street, Chatham, ON
-81.776787,47.162389,Highway 144, Chelmsford, ON
-79.625269,43.515527,1829 Lakeshore Blvd West, Clarkson, ON
-78.188853,43.968983,805 William Street, Cobourg, ON
-78.199256,43.975173,73 Strathy Road, Cobourg, ON
-79.521116,43.814207,1600 Highway 7, Concord, ON
-79.53184,43.795101,101 Edgeley Blvd, Concord, ON
-74.753034,45.029071,1301 Brookdale Avenue, Cornwall, ON
-74.749863,45.024639,950 Brookdale Mall, Cornwall, ON
-74.706315,45.025743,1314 Second Street East, Cornwall, ON
-79.507383,43.715572,2020 Jane Street, Downsview, ON
-79.513564,43.757867,1831 Finch Avenue W, Downsview, ON
-79.949704,43.265429,10 Cootes Drive, Dundas, ON
-79.607069,42.902973,630 Broad Street, Dunnville, ON
-80.561228,43.587502,45 Industrial Drive, Elmira, ON
-79.867866,44.585304,24 Yonge Street North, Elmvale, ON
-82.843015,42.178419,390 Maidstone Ave, West Essex, ON
-79.6058,43.738871,25 Carrier Drive, Etobicoke, ON
-79.517374,43.630419,1001 Islington Avenue South, Etobicoke, ON
-79.557453,43.617881,165 North Queen St, Etobicoke, ON
-79.561119,43.610306,25 The West Mall, Etobicoke, ON
-79.575598,43.631679,4333 Bloor St W, Etobicoke, ON
